speaker,text,start,end,image_description,confidence,emotion,emocional_confidence,answer_gpt_l_q,video_id,whisper_model
SPEAKER_00," Povo abençoado do Brasil, eu quero responder ao senador Wanderlán Cardoso e esclarecer ao povo de Goiás.  Quero dizer, senador, que você é mentiroso, cínico e covarde, e eu vou provar nesse vídeo.  Eu não tenho nenhum interesse político em Goiás.  Meu interesse é não deixar o povo de Deus e o povo brasileiro ser enganado por gente como você.  Qual foi a minha denúncia? O senhor é presidente da Comissão de Assuntos Econômicos do Senado.  Presidentes de comissão é que pautam os assuntos. Tem poder de pautar e de retirar assuntos.  E o senhor pautou, o senhor disse que respeita seus colegas, fora das datas combinadas com o presidente Rodrigo Pacheco no Colégio de Líderes,  para assuntos de relevância, esforço concentrado. O senhor pautou para terça-feira.  O projeto de lei não vai nem mais ser discutido para votar da liberação de cigarro eletrônico,  que é uma desgraça na sociedade e atinge em cheio.  O senhor é um jovem. Será que o senhor vai comparecer terça-feira ou vai fugir?  Agora eu vou mostrar que você é covarde, porque todo covarde se esconde atrás de gente que tem reputação.  Em nenhum momento eu atingi os líderes da Assembleia de Deus de Madureira que eu respeito.  Pastor Manuel Ferreira, Samuel Ferreira, Agno e o Ibs.  Você é covarde, que você quer se esconder atrás dessa liderança que não tem nada com as suas atitudes equivocadas.  Mas eu quero te desafiar. Eu quero desafiar você a mostrar os cargos que você tem no governo Lula.  Vai colocar? Vai dizer? Ou vai continuar enganando o povo evangélico de Goiás?  Que vergonha um senador que ao invés de ficar calado, retirar de pauta o assunto e encerrar, quer abrir a boca.  Senador, meu conselho para você é provérbios 17 e 28.  Até o tolo, quando se cala, se passa por sábio.  Essa que é a verdade, minha gente.  O povo de Goiânia não se deixa enganar.  Esse cara não merece representar vocês como prefeito.  Nem como senador para o povo de Goiás.  E que engana o povo evangélico.  Ainda tem essa?  Que conversa é essa?  Ninguém está trazendo um assunto diferente no momento político.  É agora.  Você colocou na pauta para terça-feira, dia 20, agora de agosto, ser votado esse lixo.  Que tem resolução da Anvisa contra.  Que tem parecer contra da Organização Mundial de Saúde.  Pelos danos desgraçados que comete.  E você, como senador.  Se você for cristão, jamais poderia pautar isso.  Se você respeitasse seus princípios, crenças e valores, enquanto você preside essa comissão.  Assista um outro vídeo, para vocês entenderem mais.  Mais uma vez, você tem que ser repudiado.  Deixa de ser cínico, mentiroso, dissimulado e covarde.  E nem meu nome cita.  Porque é covarde.  Fica aqui o meu protesto, a minha indignação.  E vamos ver se ele vai estar presente ou se ele vai retirar de pauta.  Deus abençoe Goiás.  Deus abençoe Goiânia.  Deus abençoe o Brasil.",0.56,182.14,"A imagem mostra um vídeo do TikTok, publicado pelo perfil @diretoaponto.am. O vídeo apresenta um homem em um ambiente interno, vestindo um terno xadrez. O texto na imagem menciona Malafaia criticando um senador evangélico que viabilizou uma pauta de PL (Proposta de Lei) que trata da liberação de cigarros eletrônicos. O contexto sugere que o vídeo é uma análise ou noticia sobre política, possivelmente relacionada a uma discussão sobre legislação relacionada a cigarros eletrônicos. O grau de confiança é 0.9.",0.9,raiva,alta,"['raiva', 'raiva', 'raiva']",10,large
SPEAKER_02," Vai fazer o L pra vocês agora, neste exato momento.",0.0,3.6,"A imagem parece ser uma captura de tela de um vídeo, possivelmente de uma rede social ou de uma transmissão ao vivo. O fundo é vermelho e tem um logotipo em círculo, que parece ser de uma equipe de futebol, com a palavra ""LIGA"" visível. Há uma frase em português que diz ""Nada ficará oculto para sempre..."" e um emoji de um personagem animado. O texto ""SE LIGA"" está em uma cor laranja e preta, com um design que sugere que pode ser um logotipo ou marca. O contexto sugere que pode ser uma transmissão de esportes, possivelmente de uma partida de futebol, com um tom de humor ou ironia. O grau de confiança é 0.8.",0.8,raiva,média,"['raiva', 'feliz', 'raiva']",105,large
SPEAKER_01, Olha quem é!,5.2,6.86,"A imagem parece ser uma captura de tela de um vídeo, possivelmente de uma rede social ou de uma transmissão ao vivo. O fundo é vermelho e tem um logotipo em círculo, que parece ser de uma equipe de futebol, com a palavra ""LIGA"" visível. Há uma frase em português que diz ""Nada ficará oculto para sempre..."" e um emoji de um personagem animado. O texto ""SE LIGA"" está em uma cor laranja e preta, com um design que sugere que pode ser um logotipo ou marca. O contexto sugere que pode ser uma transmissão de esportes, possivelmente de uma partida de futebol, com um tom de humor ou ironia. O grau de confiança é 0.8.",0.8,neutro,média,"['neutro', 'feliz', 'neutro']",105,large
SPEAKER_01," Veja só, é ele!  O Danilo!",7.92,12.7,"A imagem parece ser uma captura de tela de uma transmissão de TV ou um vídeo de segurança, com uma pessoa em primeiro plano. O texto ""SE LIGA"" está em destaque na parte inferior esquerda, sugerindo que pode ser uma parte de uma série de vídeos ou uma campanha de conscientização. O texto ""ido ao Brazil em 180"" é parcialmente visível no topo, o que pode indicar um contexto histórico ou cultural. O logotipo ""@ely_petista"" no canto inferior direito sugere que a imagem pode ter sido compartilhada em uma rede social. O contexto sugere que pode ser uma transmissão de TV ou um vídeo de segurança, possivelmente relacionado a um evento histórico ou cultural no Brasil. O grau de confiança é 0.8.",0.8,feliz,média,"['feliz', 'feliz', 'neutro']",105,large
SPEAKER_03, Minha refeição do almoço.,13.2,15.32,"A imagem parece ser uma captura de tela de uma transmissão de TV ou um vídeo de segurança, com uma pessoa em primeiro plano. O texto ""SE LIGA"" está em destaque na parte inferior esquerda, sugerindo que pode ser uma parte de uma série de vídeos ou uma campanha de conscientização. O texto ""ido ao Brazil em 180"" é parcialmente visível no topo, o que pode indicar um contexto histórico ou cultural. O logotipo ""@ely_petista"" no canto inferior direito sugere que a imagem pode ter sido compartilhada em uma rede social. O contexto sugere que pode ser uma transmissão de TV ou um vídeo de segurança, possivelmente relacionado a um evento histórico ou cultural no Brasil. O grau de confiança é 0.8.",0.8,neutro,alta,"['neutro', 'neutro', 'neutro']",105,large
SPEAKER_03," Sentir da Brasília.  Farofa, seu Pedrinho ali já tá com a linguiça.",17.040000000000003,22.14,"A imagem parece ser captura de um vídeo, possivelmente de uma transmissão ao vivo em uma plataforma de mídia social ou de TV. Há um texto em português na imagem que diz ""SE LIGA"", que é uma expressão comum em redes sociais para chamar a atenção do público. Além disso, há um logotipo de uma ""L"" com uma cor laranja, que pode ser associado a uma marca ou canal específico. O contexto sugere que pode ser um evento ao vivo, possivelmente um esporte ou um evento comemorativo, dado o ambiente ao ar livre e o uso de cones de trânsito. O grau de confiança é 0.8.",0.8,feliz,média,"['feliz', 'feliz', 'neutro']",105,large
SPEAKER_03, Farofa de linguiça.,23.08,24.38,"A imagem parece ser uma captura de vídeo, possivelmente de uma transmissão ao vivo, com foco em um objeto em chamas. Há uma névoa de fumaça e chamas visíveis. No canto inferior esquerdo, há uma marca com o texto ""SE LIGA"" e um logotipo de um personagem animado. O contexto sugere que pode ser de uma transmissão de um evento ao vivo, possivelmente em uma plataforma de mídia social ou de TV. O grau de confiança é 0.8.",0.8,neutro,alta,"['neutro', 'neutro', 'neutro']",105,large
SPEAKER_00, Farta de legumes.,25.34,26.04,"A imagem parece ser uma captura de vídeo, possivelmente de uma transmissão ao vivo, com foco em um objeto em chamas. Há uma névoa de fumaça e chamas visíveis. No canto inferior esquerdo, há uma marca com o texto ""SE LIGA"" e um logotipo de um personagem animado. O contexto sugere que pode ser de uma transmissão de um evento ao vivo, possivelmente em uma plataforma de mídia social ou de TV. O grau de confiança é 0.8.",0.8,raiva,baixa,"['raiva', 'neutro', 'triste']",105,large
SPEAKER_03," É, churrasqueirinha improvisada.  Nossa amiga aí do MST, como é que é o nome?  Danilo.  Danilo. Seja bem-vindo aí com nós, Danilo, na linguiçada.",26.1,37.54,"A imagem parece ser uma captura de vídeo, possivelmente de uma transmissão ao vivo, com foco em um objeto em chamas. Há uma névoa de fumaça e chamas visíveis. No canto inferior esquerdo, há uma marca com o texto ""SE LIGA"" e um logotipo de um personagem animado. O contexto sugere que pode ser de uma transmissão de um evento ao vivo, possivelmente em uma plataforma de mídia social ou de TV. O grau de confiança é 0.8.",0.8,neutro,média,"['neutro', 'feliz', 'neutro']",105,large
SPEAKER_02," Mas por que o Danilo aqui está com a camisa do Bolsonaro?  E aqui?  O Danilo está com a camisa do MST.  Como disse no início do vídeo, indo para Brasília.  Por quê? O que estava planejando?",37.82,52.5,"A imagem parece ser uma captura de vídeo, possivelmente de uma transmissão ao vivo, com foco em um objeto em chamas. Há uma névoa de fumaça e chamas visíveis. No canto inferior esquerdo, há uma marca com o texto ""SE LIGA"" e um logotipo de um personagem animado. O contexto sugere que pode ser de uma transmissão de um evento ao vivo, possivelmente em uma plataforma de mídia social ou de TV. O grau de confiança é 0.8.",0.8,raiva,baixa,"['raiva', 'triste', 'neutro']",105,large
SPEAKER_00," O porcento da população que come, que viaja, que vai para Miami, que vai para Bariloche,  que vai ver museu na Europa, vai ver museu nos Estados Unidos.  O restante, sabe, tem que se lascar.",0.0,11.86,"A imagem parece ser uma captura de tela de uma transmissão ao vivo no TikTok, com uma mulher falando e um homem em uma videoconferência ao fundo. O texto ""EXCLUSIVO"" está em destaque, sugerindo que o conteúdo é de interesse público. O texto ""LULA FALOU PARA O QUE VEIO E O QUE PENSÁ"" e ""FAZ O O L"" são legendas que parecem estar sendo exibidas ao vivo, possivelmente relacionadas a uma discussão ou debate. O logotipo do TikTok está presente no canto superior esquerdo. O contexto sugere que pode ser uma discussão política ou social, possivelmente envolvendo o ex-presidente Lula da Silva. O grau de confiança é 0.8.",0.8,raiva,baixa,"['raiva', 'neutro']",111,large
SPEAKER_00," É assim.  Sabe, os negros não foram libertados para virar cidadãos ou cidadãs.  Eles deixaram de ser cidadãos para virar vagabundo.",11.98,20.2,"A imagem mostra o logotipo da plataforma TikTok em um fundo preto. O logotipo é composto por uma letra ""t"" em azul e rosa, seguida do texto ""TikTok"" em branco. Abaixo do logotipo, há duas barras horizontais, uma vermelha e outra azul, que parecem estar em um processo de carregamento ou animação. O contexto sugere que a imagem está relacionada a uma apresentação ou anúncio da plataforma TikTok, possivelmente em um evento ou em um vídeo. O grau de confiança é 1.",1.0,raiva,baixa,"['raiva', 'triste']",111,large
