speaker,text,start,end,image_description,confidence,emotion,emocional_confidence,answer_gpt_l_q,video_id,whisper_model,processing_time
SPEAKER_00," Senhora, não senhora, eu trabalhei 40 anos e gosto...  O que é que você tá me chamando de doida?  O assessor tá me chamando de doida, o senhor me respeita, senão vou pedir pro senhor dar licença, que é meu local de trabalho.  A Vena, eu só gostaria que você deixasse eu responder.  Olha, a assessoria do professor Alcides me desrespeitando, o senhor vai desrespeitar a mulher lá na faculdade do professor Alcides.  Aqui o senhor tem que me respeitar que eu tô no meu local de trabalho.  Eu já vi o professor Alcides chamar a mulher de puta lá na faculdade dele.",0.0,26.1,"A imagem mostra uma transmissão ao vivo de um jornal da Rádio Sucesso FM, com dois participantes em uma conversa. A mulher está vestindo um preto e o homem um amarelo com detalhes verdes, ambos segurando microfones com o logotipo da emissora. O fundo do estúdio apresenta o logotipo da Rádio Sucesso FM e o texto ""JORNAL DA SUCESSO - AS PRINCIPAIS INFORMAÇÕES DO DIA"". O texto na parte inferior indica que a transmissão é ao vivo e fornece o número de telefone e o link para o canal da Rádio Sucesso no YouTube. O contexto sugere que é uma transmissão de notícias, provavelmente em um programa matinal. O grau de confiança é 1.",1.0,raiva,média,"['raiva', 'raiva']",28,large-v3,
SPEAKER_00," Aqui você vai me respeitar, tá?  Tá? Aqui eu sou, eu sou, não é só mulher não, aqui eu sou uma jornalista, eu tô aqui no exercício da minha função e o senhor vai me respeitar.  E se o senhor começar a tumultuar, o senhor, por gentileza, se retire.  Que o senhor está no meu local de trabalho.  Por que que o senhor me chamou de louca?  Por que que você tá me chamando de louca? Me respeita!  Você me respeita e me chama de louca.  Olha o que que tá acontecendo nesse programa.  Corana, você vai ficar calado?  Eu quero falar o seguinte...  E o assessor me chamar de louca e o senhor vai ficar calado?",26.36,58.84,"A imagem mostra uma transmissão ao vivo de um jornal da Rádio Sucesso FM, com dois participantes em conversa. A mulher, à esquerda, usa um microfone com o logotipo da emissora. O homem, à direita, veste uma camisa amarela com o logotipo do Nike e também usa um microfone da Rádio Sucesso FM. O fundo traz o logotipo da emissora e o texto ""JORNAL DA SUCESSO - AS PRINCIPAIS INFORMAÇÕES DO DIA"". A barra inferior exibe o número de telefone, o logotipo da emissora e o nome da rede social ""Rede Sucesso FM"". O contexto sugere que é uma transmissão de notícias, provavelmente em um estúdio de rádio. O grau de confiança é 1.",1.0,raiva,alta,"['raiva', 'raiva', 'raiva']",28,large-v3,
SPEAKER_00," Você vai ficar calado?  Me respeita!  É melhor.  Ô, professor...  Ah, velho, eu só gostaria que você deixasse eu responder.  Eu quero me deixar...  Eu vou deixar tranquilamente...  Você não me deixa responder.  Eu vou deixar tranquilamente, mas no meu exercício, na minha função, um assessor me chamar de louco, ele tem que me respeitar.",58.86,75.94,"A imagem mostra uma pessoa em um estúdio de rádio, segurando um microfone azul com o logotipo ""Sucesso FM"" em cima. A pessoa está falando e levantou o punho direito. No fundo, há um painel com o logotipo ""Sucesso FM"" repetido. No canto inferior da imagem, há uma barra azul com o texto ""JORNAL DA SUCESSO - AS PRINCIPAIS INFORMAÇÕES DO DIA"". Abaixo, há um logotipo circular com o texto ""Rádio Sucesso"" e um número de telefone. O contexto sugere que é uma transmissão ao vivo de um jornal da rádio Sucesso FM. O grau de confiança é 1.",1.0,raiva,alta,"['raiva', 'raiva', 'raiva']",28,large-v3,
SPEAKER_00," Aqui ele não tá falando que a mulher é velha ou com a mãe dele, não.  Aqui ele tá falando com uma jornalista que eu tô trabalhando.  Professor...  Me respeita.  E quando o senhor responder, eu quero deixar...  Até 2014 o senhor trabalhou.  Trabalhei.",76.52000000000001,86.82,"A imagem mostra uma transmissão ao vivo de um jornal da Rádio Sucesso FM, com dois participantes em conversa. A mulher, à esquerda, usa um microfone azul com o logotipo da emissora. O homem, à direita, também fala em um microfone azul da mesma emissora. O fundo do estúdio é azul com elementos gráficos. No canto inferior, há um logotipo da emissora e informações de contato, incluindo um número de telefone e um link para a página da emissora no Facebook. A legenda na parte inferior da imagem indica que é um jornal ao vivo, mencionando ""Jornal da Sucesso - As Principais Informações do Dia"". O grau de confiança é 1.",1.0,raiva,média,"['raiva', 'raiva', 'neutro']",28,large-v3,
SPEAKER_00," Porque a Rede Globo tá comprada, a Bandeirantes tá comprada, o R7 tá comprado, todo mundo aqui recebe benefício do governo e não conta nada que tá acontecendo lá fora.  General informante de Moraes foi cotado por Lula chefe do exército.  Isso aí vai vir à tona, vai aparecer, entendeu? O que eles ganharam pra fazer isso?  O que eles ganharam pra fazer isso?  Ok? Porque agora trocou o governo dos Estados Unidos, trocou os comandantes do FBI, da CIA, né?  Trocou os caras. E esse cara que o Trump colocou aí como chefe do FBI é o cara mais fodão que tem nos Estados Unidos.",0.0,28.62,"A imagem parece ser uma captura de tela de um vídeo do TikTok, com o perfil ""@narnianews"" e o logotipo ""Notícias de Nárvia"". O vídeo mostra um homem em uniforme militar, seguido por uma sequência de imagens de militares em parada. O texto em português na imagem menciona um ""General 'informante' de Moraes"" sendo cotado por Lula para ser o chefe do Exército. O contexto sugere que o vídeo é sobre notícias políticas, possivelmente relacionadas a uma candidatura ou nomeação para um cargo militar. O grau de confiança é 0.7, pois o texto sugere uma noticia específica, mas não há garantia de que seja verdadeira.",0.7,raiva,média,"['raiva', 'raiva']",14,large-v3,
SPEAKER_00," O mais fodão. O cara é pica das galáxias. Eu não tô puxando o saco, eu tô usando os mesmos adjetivos que eu tô ouvindo as pessoas dos Estados Unidos contarem pra mim.  E esse cara disse que vai meter todo mundo na cadeia.  Quem recebeu dinheiro dos Estados Unidos pelas mãos da CIA em contas secretas, em parelhos fiscais, é isso que a gente tá ouvindo.  Entendeu? É isso aí que a gente tá ouvindo.  Teve muita gente aqui que recebeu.  Muita gente. Entendeu? E o cara falou que vai pôr todo mundo na cadeia.  E eu tô aqui preparando minha caixa de foguete aqui já, sem barulho, só de luz, né?  Tem que soltar só pra fazer luz, porque senão...  A judia dos cachorros, né? Então foguete sem barulho, sem estampido.  Não é? E tô preparando a minha camisa da vitória, ela já tá passada, lavada.  Prontinha, irmão. Prontinha.",28.62,66.7,"A imagem parece ser uma captura de tela de um vídeo de uma rede social, possivelmente TikTok, com uma fonte de notícias chamada ""Notícias de Nárnia"" (@narnianews). O vídeo mostra um homem em um ambiente interno com uma bandeira do Brasil ao fundo e um urso de pelúcia com óculos de sol. Abaixo, há uma imagem de militares em uniforme camuflado, segurando bandeiras vermelhas. O texto em português sugere que o general Moraes foi cotado por Lula para ser o chefe do Exército. O contexto sugere que o vídeo é sobre política militar no Brasil. O grau de confiança é 0.7.",0.7,feliz,média,"['raiva', 'feliz', 'feliz']",14,large-v3,
SPEAKER_00," Entendeu? Prontinha. Então eu tô dando notícia pra você.  Isso não é notícia de NAR, né? Não, não. Isso é notícia que eu tô te dando.  O cara jurou, o cara jurou pro Trump lá, ok, irmão?  Jurou para o Trump que vai pegar todo mundo que deu golpe no país chamado Brasil.  Que receberam dinheiro do Biden, da esquerda americana,  pra transformar o Brasil em uma republiqueta de bananas,  pra transformar o Brasil em uma...  Em uma república da China.  E vou dizer mais pra você, as pessoas dos Estados Unidos dizem  que se a Kamala tivesse vencido, nós já estaríamos pior que a Venezuela.  Entendeu? Se a Kamala tivesse vencido. Mas não venceu.  Não venceu. E agora, a justiça, a ordem, a lei americana vai vir atrás de todo mundo.  Todo mundo vai vir atrás de todo mundo.  Entendeu? E os americanos, porque isso tá...  Hoje eu tava conversando com uma pessoa que mora fora do país,",67.76000000000002,112.5,"A imagem parece ser uma captura de tela de um vídeo do TikTok, com uma fonte de notícias chamada ""Notícias de Nárnia"" (@narnianews) e outra fonte chamada ""Vista Patria"" (@vistapatria). O vídeo mostra um homem em um ambiente que parece ser um escritório ou sala de imprensa, com bandeiras ao fundo. Abaixo do homem, há uma imagem de militares em uniforme camuflado, segurando bandeiras. O texto em português na imagem menciona um ""General 'informante' de Moraes"" sendo cotado por Lula para ser o chefe do Exército. O contexto sugere que o vídeo é sobre uma notícia política, possivelmente relacionada a uma nomeação militar. O grau de confiança é 0.7.",0.7,raiva,média,"['raiva', 'feliz', 'raiva']",14,large-v3,
SPEAKER_00," e ela disse pra mim assim, ó, pastor, se você estivesse ouvindo os jornais internacionais,  jornais internacionais,  você ia ficar com a camisa da China.  Você ia fazer um mês de desdobramento, só dando as notícias que os caras estão contando aqui,  que vocês não sabem, porque a Rede Globo tá comprada, a Bandeirantes tá comprada,  o R7 tá comprada, todo mundo aqui recebe benefício do governo,  e não conta nada que tá acontecendo lá fora.  Falou, se vocês tivessem acesso às informações internacionais,  o que tá passando no jornal, e não é nos Estados Unidos, é na Europa, em todo lugar.  Entendeu? Você fazia, ele falou pra mim, você fazia um desdobramento um mês aí,  sem parar, só contando notícia.  Do que eles estão falando que já foi descoberto.  Pelos caras novos, pelos agentes novos do FBI,  pelos agentes novos da CIA,  porque aqueles velhos bandidos, né?",112.62,149.22,"A imagem parece ser uma captura de tela de um vídeo do TikTok, com uma imagem de um homem em primeiro plano e uma imagem de militares em segundo plano. O texto em português sugere que o vídeo é sobre um general, Moraes, que é considerado um ""informante"" e é citado como sendo cotado por Lula para ser o chefe do Exército. O logotipo do TikTok e o nome do perfil ""@narnianews"" estão visíveis, indicando que o vídeo foi compartilhado por essa conta. O contexto sugere que o vídeo é sobre notícias políticas e militares no Brasil. O grau de confiança é 0.7.",0.7,raiva,baixa,"['raiva', 'triste']",14,large-v3,
SPEAKER_00," Bandidos comunistas caíram por terra, lá dos Estados Unidos,  eu tô falando, a CIA do FBI.  E os caras novos que entraram, que são patriotas, americanos de verdade,  gente que ama o seu país, a sua pátria,  e vai cumprir a Constituição Americana.",149.72000000000003,159.5,"A imagem mostra o logotipo do TikTok em um fundo preto. Abaixo do logotipo, há um campo de busca com o texto ""@narnianews"" e o ícone do TikTok. O contexto sugere que a imagem está relacionada a uma conta do TikTok, possivelmente uma conta de notícias ou de um usuário específico. O grau de confiança é 0.9.",0.9,feliz,média,"['raiva', 'feliz', 'feliz']",14,large-v3,
SPEAKER_00," Vamos falar dessas eleições, gente? Prefeitura 2024.  Aqui em Goiânia, nossa tática deu certo, né, gente? Graças a Deus.  A intenção era não deixar a Adriana Corse entrar.  E aí deu o segundo turno o Sandro Mabel e o Fred, né? Que bom, deu certo.  Agora, e as eleições de São Paulo? O que vocês me contam?  Eu sei que o Brasil inteiro estava acompanhando, principalmente nós aqui, goianos, né?  Um conterrâneo nosso lá.  Gente, quando eu vi o resultado, eu não acreditei, não.  Eu fiquei assim, caraca, realmente o brasileiro tem o governo que merece mesmo.  Porque o Boulos ficar em segundo lugar, passar Pablo Marçal, gente, isso é uma vergonha.  Que vergonha.  E vocês sabem que tem grandes chances desse homem ganhar, né?  Ele é diretamente ligado ao líder da nossa nação.  E eu fico assim até sem palavras, porque a gente também não pode falar...  Não pode falar muita coisa, né?  A gente não tem mais esse direito de se expressar, de nos expressarmos aqui nas mídias sociais, né?  Se não, daqui a pouco o negro me leva enjaulada.  Então, assim, o que vocês acham dessas eleições do nosso país?  De modo geral, elas são listas? São legítimas?  Fala aí pra mim.",0.0,80.1,"A imagem parece ser uma captura de tela de um vídeo do TikTok, com uma mulher falando. Há um texto em português na parte superior da imagem que parece ser uma repetição do termo ""ELEICÕES 2024"". O logotipo do TikTok está presente no canto inferior esquerdo, junto com o nome de usuário ""@emourararodrigues"". O contexto sugere que o vídeo pode estar relacionado às eleições de 2024, possivelmente em um país onde o português é falado. O grau de confiança é 0.9.",0.9,raiva,baixa,"['raiva', 'triste']",33,large-v3,
